level,depth,dirichlet,mad
sparse (≈3),1,3.5653626918792725,0.8316209316253662
sparse (≈3),2,0.5660608410835266,0.448825865983963
sparse (≈3),3,0.14621204137802124,0.25464579463005066
sparse (≈3),4,0.03563728556036949,0.21622295677661896
sparse (≈3),5,0.009779687970876694,0.14203017950057983
sparse (≈3),6,0.003081301925703883,0.09732230007648468
sparse (≈3),7,0.0009375246008858085,0.11128491908311844
sparse (≈3),8,0.00031456691795028746,0.05944708362221718
medium (≈10),1,3.5139071941375732,0.7250953912734985
medium (≈10),2,0.4460326135158539,0.288415789604187
medium (≈10),3,0.10140856355428696,0.11592104285955429
medium (≈10),4,0.02154633402824402,0.07654685527086258
medium (≈10),5,0.00410624872893095,0.0317540168762207
medium (≈10),6,0.001237967750057578,0.013260509818792343
medium (≈10),7,0.0002991684013977647,0.014598804526031017
medium (≈10),8,8.61958833411336e-05,0.0066392915323376656
dense (≈30),1,2.4913463592529297,0.6506330966949463
dense (≈30),2,0.3298198878765106,0.23271647095680237
dense (≈30),3,0.07681519538164139,0.0819605216383934
dense (≈30),4,0.015532567165791988,0.05200415849685669
dense (≈30),5,0.002537904307246208,0.017617452889680862
dense (≈30),6,0.0007005984080024064,0.006795752327889204
dense (≈30),7,0.00014993807417340577,0.006558444816619158
dense (≈30),8,3.861140794469975e-05,0.0027276682667434216
