drop_rate,kept_edges,seed,acc,dirichlet
0.0,5278,0,0.7980000376701355,0.8907981514930725
0.0,5278,1,0.8180000185966492,0.8525243401527405
0.0,5278,2,0.8010000586509705,0.8631294369697571
0.2,4262,0,0.7900000214576721,0.8473076224327087
0.2,4199,1,0.7930000424385071,0.8116304278373718
0.2,4214,2,0.7890000343322754,0.8480432033538818
0.4,3199,0,0.7610000371932983,0.6938105225563049
0.4,3162,1,0.7620000243186951,0.5445201992988586
0.4,3132,2,0.7710000276565552,0.6345547437667847
0.6,2130,0,0.7170000076293945,0.41539305448532104
0.6,2080,1,0.7110000252723694,0.4164080321788788
0.6,2119,2,0.706000030040741,0.45765799283981323
0.8,1080,0,0.6430000066757202,0.19181644916534424
0.8,1043,1,0.6530000567436218,0.18731853365898132
0.8,1001,2,0.6570000052452087,0.19310960173606873
0.9,546,0,0.6020000576972961,0.07830873876810074
0.9,552,1,0.6010000109672546,0.06409979611635208
0.9,488,2,0.5770000219345093,0.05183817446231842
